Created at,Id,Nom,Description,Stock,Poids,Catégorie,Prix en cents d'€,Nb de ventes - ca
2018-06-22 11:28:52 UTC,71,noirmoutier-commande,"17 salières calligraphie bleu 
18 salières calligraphie noir
",0,20000,Salière,52500,"2 - 1050,00 €"
2018-06-21 10:58:54 UTC,70,BOL n°1 JUIN 2018,"BOL

Pièce réalisée au tour. 
Faïence émaillée d'un blanc satiné. 
Calligraphie exécutée au pinceau. 
le trait peut avoir un peu de relief en surface. 

Céramique utilitaire. 
Pas de micro-onde. 

PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,600,Bol,5200,"0 - 0,00 €"
2018-06-11 17:45:16 UTC,69,Boite,Boite Ovale,2,3200,PIÈCE  D'EXCEPTION,32000,"0 - 0,00 €"
2018-06-01 14:45:58 UTC,68,Ensemble de Tondo,"Ensemble de 3 Tableaux
",0,3200,Tableau,15000,"1 - 150,00 €"
2018-05-29 12:30:47 UTC,67,Sépia,"GOBELET

 Pièce réalisée au tour.
 Forme droite légèrement plus étroite à l'embouchure.
 Faïence émaillée d'un blanc mat ,légèrement satiné. 
 Calligraphie réalisée au pinceau. 
 Céramique utilitaire
 Pas de micro-onde. 

PIÈCE UNIQUE

 Diamètre en haut 6,5 cm , en bas 7 cm
 Hauteur 10,5 cm",0,400,Gobelet,4500,"1 - 45,00 €"
2018-05-21 09:42:48 UTC,66,Ancrée," BOL

 Pièce réalisée au tour.
 Faïence émaillée d'un blanc mat. 
 Calligraphie exécutée au pinceau . le trait du pinceau a un rendu très mat .

 Céramique utilitaire et décorative.
 Pas de micro-onde.

 PIÈCE UNIQUE

 Diamètre 8,5 cm Hauteur 9 cm",1,300,Bol,3500,"0 - 0,00 €"
2018-05-07 16:50:43 UTC,65,"Bleu ""Majorelle"" n°1","GOBELET

 Pièce réalisée au tour. 
 Forme droite légèrement plus étroite à l'embouchure.
 Faïence émaillée d'un blanc mat ,légèrement satiné.
 Calligraphie réalisée au pinceau, le trait peut avoir un peu de relief.
 Céramique utilitaire. 
 Pas de micro-onde. 


 PIÈCE UNIQUE

 Diamètre en haut 6 cm , en bas 6.5cm 
 Hauteur 10,5 cm",0,380,Gobelet,3500,"1 - 35,00 €"
2018-05-07 16:21:03 UTC,64,"SARAH,  Bleu ""Majorelle"" n°2","GOBELET

 Pièce réalisée au tour.
 Forme droite légèrement plus étroite à l'embouchure.
 Faïence émaillée d'un blanc mat ,légèrement satiné. 
Calligraphie réalisée au pinceau, le trait peut avoir un peu de relief. 
Céramique utilitaire.
 Pas de micro-onde.

 PIÈCE UNIQUE

 Diamètre en haut 6 cm , en bas 6.5cm
 Hauteur 10,5 cm",0,380,Gobelet,3500,"2 - 70,00 €"
2018-05-07 16:14:34 UTC,63,"Bleu ""Majorelle"" n°3","GOBELET 

 Pièce réalisée au tour.
 Forme droite légèrement plus étroite à l'embouchure.
 Faïence émaillée d'un blanc mat ,légèrement satiné.
 Calligraphie réalisée au pinceau, le trait peut avoir un peu de relief. 
 Céramique utilitaire.
 Pas de micro-onde.

 PIÈCE UNIQUE

 Diamètre en haut 6 cm , en bas 6.5cm
 Hauteur 10,5 cm",0,380,Gobelet,3500,"0 - 0,00 €"
2018-05-07 16:03:03 UTC,62,BLEU N°1,"BOL

 Pièce réalisée au tour.
 Faïence émaillée d'un blanc satiné.
 Calligraphie exécutée au pinceau.le trait peut avoir un peu de relief en surface.
 Céramique utilitaire.
 Pas de micro-onde.

 PIÈCE UNIQUE 

 Hauteur 9 cm, Diamètre 7.5 cm",0,350,Bol,3500,"1 - 35,00 €"
2018-05-07 15:24:38 UTC,61, BLEU n°2,"BOL

 Pièce réalisée au tour.
 Faïence émaillée d'un blanc satiné.
 Calligraphie exécutée au pinceau.le trait peut avoir un peu de relief en surface.
 Céramique utilitaire.
 Pas de micro-onde. 

 PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",1,350,Bol,3500,"0 - 0,00 €"
2018-05-07 14:49:11 UTC,60, BLEU n°3,"BOL

 Pièce réalisée au tour.
 Faïence émaillée d'un blanc satiné. 
 Calligraphie exécutée au pinceau.le trait peut avoir un peu de relief en surface.
 Céramique utilitaire.
 Pas de micro-onde.

 PIÈCE UNIQUE

 Hauteur 9 cm, Diamètre 7.5 cm",0,350,Bol,3500,"0 - 0,00 €"
2018-05-07 14:27:56 UTC,59, BLEU n°4,"BOL

Pièce réalisée au tour.
Faïence émaillée d'un blanc satiné.
Calligraphie exécutée au pinceau.le trait peut avoir un peu de relief en surface.
Céramique utilitaire.
Pas de micro-onde.

PIÈCE UNIQUE

Hauteur 9 cm, Diamètre 7.5 cm",1,350,Bol,3500,"0 - 0,00 €"
2018-03-05 21:30:21 UTC,58,R,"TABLEAU ROND Calligraphie libre réalisée au pinceau sur céramique. Liseret OR. Email blanc mat ,légèrement satiné ,rendu porcelaine. Faïence blanche. PIÈCE UNIQUE Diamètre 8,4 cm Épaisseur 3,1 cm Très facile à accrocher. Le dos du tableau est brut , sans émail. Idée de création : les tableaux nommés ""Rivage"" peuvent créer une composition harmonieuse entre eux sur vos murs en binôme ou en triptyque !",1,500,Tableau,5000,"0 - 0,00 €"
